State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Hindus,Muslims,Christians,Others_Religions,Households_with_Computer,Housholds_with_Electric_Lighting,Urban_Households,Rural_Households,Higher_Education,Graduate_Education,Illiterate_Education,Literate_Education,SC,ST,sex ratio,literacy_rate,Illiterate_rate
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,203545,3593,20029,560,1393,29794,7516,52102,7560,3490,91160,149466,992,216073,101.0,62.0,40.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,3713941,384579,23813,1124,117818,798277,692971,547454,268451,314960,910219,2868332,221629,1149901,93.0,69.0,22.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,1571147,94034,19661,1417,31285,329218,235981,262410,123281,90912,405928,1093866,38237,902794,92.0,69.0,24.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,955096,22143,3705,110,32767,199681,139891,175365,97980,91472,222031,793235,296246,0,88.0,72.0,20.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,1611031,15515,873,26,25236,266244,99235,357047,148995,104875,459364,1093788,341162,0,89.0,65.0,28.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,1588407,161680,9743,249,82673,333171,382981,87700,178846,259933,346567,1306146,223799,0,87.0,70.0,19.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,779243,8360,996,530,13142,153301,55360,203020,61476,37741,344534,542399,284357,0,90.0,59.0,37.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,1408801,70842,9725,254,102343,305751,381988,141703,150120,233402,263720,1123831,197937,0,85.0,73.0,17.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,1701061,21650,1945,33,33400,285004,154113,302013,144626,105346,505251,1093767,408785,0,87.0,64.0,29.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,945693,8247,734,22,19241,168558,78328,211816,97457,58826,201028,627288,170448,0,86.0,71.0,21.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,1276669,23016,889,56,23750,222462,89665,278335,107994,64599,419624,815843,282351,0,87.0,62.0,31.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,974520,8232,1769,70,15301,187349,75696,231091,82297,51043,369869,662470,247513,0,88.0,60.0,34.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,1341002,31650,2049,49,29253,267223,135920,292682,124790,101387,429220,1004186,339604,0,89.0,65.0,29.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,805175,15970,1943,106,21951,171908,88268,203553,81964,71007,266638,642789,215128,0,89.0,67.0,28.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,913251,5660,301,15,13908,135455,44216,223726,94245,60296,245602,654072,156314,0,89.0,68.0,27.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,490702,23451,2583,90,32174,103455,93656,70895,48306,83256,119222,388559,101830,0,87.0,72.0,21.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,1083936,86622,2261,99,26719,209965,153804,173502,91756,75774,296212,752884,206213,0,86.0,65.0,25.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,889133,5713,701,12,18092,152651,69305,199449,95807,65143,206827,635173,182606,0,90.0,71.0,23.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,1043887,8185,732,24,27225,193120,131739,175203,109596,100346,248795,808357,216889,0,87.0,70.0,23.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,940255,9524,2186,624,22706,215527,93316,245476,83373,61620,412353,792628,387381,0,90.0,60.0,32.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,371973,6984,236,7,6281,79146,11987,152458,45695,25474,65864,287961,98989,10693,98.0,75.0,17.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,2540763,57973,20745,29122,30892,519704,188174,549632,152838,134637,943112,1624001,552992,498469,97.0,60.0,35.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,479782,32455,1559,14,5117,96082,13836,186395,40440,15506,154575,344427,111690,135500,99.0,62.0,30.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,449412,3711,243,9,7525,104120,15232,196116,64363,35620,72551,376978,109256,3044,110.0,79.0,16.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,1010014,91269,814,273,11037,55929,55300,256081,59914,59612,364848,835920,241198,474,86.0,59.0,33.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,1461140,19797,3023,208,22753,330081,39007,588321,192936,91236,271892,1176288,319385,84564,101.0,76.0,18.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,354,64732,448,485,45,2563,17865,0,44514,7871,5118,16944,59428,14750,48746,82.0,72.0,20.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,2623,415669,2974,1568,83,7010,91322,20709,167995,39081,23168,103136,310349,122659,16822,94.0,70.0,24.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,5333,981412,9460,876,86,16401,214491,31696,431129,128549,54139,218570,763468,293739,12787,101.0,72.0,22.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,9177,791449,11810,2025,197,24127,172754,95896,279269,95341,80414,137576,623801,215777,8755,92.0,75.0,17.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,2220,476830,33215,577,86,8593,91509,21054,171102,38282,23352,140486,368841,160745,11262,92.0,68.0,27.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,5250,548579,14678,1452,110,14478,119866,51509,192787,59363,36803,104084,423408,164536,25645,88.0,74.0,18.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,2412,480138,14275,390,10,8238,105929,20126,185091,60626,32120,87735,424468,115491,8601,98.0,77.0,17.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,596,187621,220614,472,42,3077,61831,11350,122267,31416,12647,163565,248131,53408,39216,92.0,53.0,40.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,19905,1289240,107489,12104,321,46657,294739,248043,254566,159257,146501,268279,1173121,377991,69193,88.0,74.0,18.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,235,10341,108239,604,4,1005,15824,7774,40370,9826,3077,39854,82938,18,122336,81.0,61.0,28.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,1443,540063,64234,1828,2,6112,109422,33473,181374,47694,24330,181297,426572,141224,53307,89.0,63.0,29.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,1537,13840,535159,1109,18,5293,73629,21703,147520,40931,31286,190369,310482,402,22607,91.0,52.0,34.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,346,32604,431279,958,2,3342,62900,15269,132139,29517,13962,164044,288430,556,176101,89.0,55.0,34.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,16413,42540,1177342,2746,2,33831,165403,257721,4518,132727,121856,310225,904049,1068,8935,90.0,61.0,25.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,1214,489044,59771,1962,235,5744,73999,34696,148664,29657,17345,194838,330760,138569,56309,87.0,58.0,35.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,9754,1636460,241451,13730,160524,37997,274726,258452,250312,154076,116396,595924,1448037,299227,255626,92.0,62.0,29.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,590,903179,116710,6565,12936,9115,27037,14528,200974,35342,21697,467975,587378,340553,45563,95.0,49.0,45.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,1944,1165140,302626,6027,16067,13550,130193,64337,257373,54419,43979,635544,875351,190036,180962,93.0,53.0,43.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,11568,2149480,431762,11243,77182,46646,427173,405455,258764,186697,107382,662522,1882625,437309,233119,91.0,64.0,25.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,1193,1044726,106865,86404,78622,10396,62110,23281,303697,38383,25593,601078,743623,79614,571077,98.0,51.0,45.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,565,1104475,194680,17168,4591,8881,29373,19180,272872,46882,28144,557852,716376,319946,205874,94.0,49.0,42.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,1944,1856202,508586,14645,59218,19976,125431,46886,452564,77540,55122,1047685,1496125,325493,238188,94.0,51.0,43.0
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,874,937126,289182,37795,47067,11925,43230,15576,276454,47395,30870,653464,696847,115567,279208,94.0,46.0,50.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,831,309563,51429,202449,457468,7807,31687,16445,216629,45613,23742,322119,715941,32459,706754,99.0,55.0,31.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,808,550560,164406,4419,68564,4959,49419,20113,165555,22995,14802,366012,428897,72885,240489,95.0,54.0,46.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,340,473049,69808,47653,133525,6240,38194,14137,146377,23885,13956,349277,404807,154910,331096,97.0,48.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,351,112378,95012,16770,235987,2954,28769,14725,96759,21987,13847,188323,306651,15330,262734,99.0,56.0,41.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,328,410127,322963,75865,88760,4535,31414,16587,200588,15700,9822,548434,370163,28469,379054,99.0,39.0,61.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,2155,1683169,238295,6164,5681,19981,68238,52375,355529,100290,63595,803424,1163521,536382,181208,93.0,53.0,41.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,22538,1612239,410759,193974,677445,76565,350908,310242,420740,247237,195181,613855,2246309,152943,1042016,95.0,66.0,21.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,591,628044,398243,83208,38426,9563,34879,37543,223450,28087,19832,637296,531397,72341,308343,95.0,42.0,55.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,423,201524,15103,306601,73930,4649,16865,11114,144169,24842,13674,191341,397514,44674,424407,100.0,57.0,32.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,3745,1634229,219991,3433,166,26297,301389,165858,324799,115095,82319,608843,1170429,319149,97203,99.0,59.0,32.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,3729,890429,92252,5368,85,17066,214253,95410,231052,82235,51015,205062,705888,213700,52903,95.0,70.0,21.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,17560,4038331,528412,18418,149,73497,808827,356198,962777,279583,201884,1346776,3282133,577418,297198,97.0,64.0,28.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,9626,2103633,320834,14014,54,40190,440374,251876,371604,121453,89475,787762,1468497,517409,451406,98.0,58.0,32.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,3971,1289709,335184,35438,521,36072,271439,102269,287134,105347,54900,515395,1212360,399785,235822,96.0,61.0,30.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,117,245151,1617,2709,3793,1462,12516,7942,50449,6755,3421,163278,80069,10122,204189,98.0,34.0,64.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,4987,1786830,369588,2433,499,36571,326594,131041,396449,129109,96990,746979,1253491,442773,39314,96.0,57.0,34.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,4510,1004553,101235,26000,4,18727,238505,80766,311660,96470,72420,204371,891309,253651,44970,101.0,72.0,18.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,5711,1520553,128751,3175,128,28897,307257,97644,349704,132435,75262,452975,1164789,389117,302554,97.0,66.0,27.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,7320,1658465,265805,5420,1743,39416,372671,176011,354680,154781,123863,467414,1476376,392595,233112,97.0,67.0,24.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,15013,1390020,386834,28747,2748,49585,347962,283397,199707,143453,137768,428556,1363803,177855,87548,97.0,70.0,23.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,3373,907750,143665,3432,74,15625,198064,111906,180066,63816,42053,306138,702799,174196,61654,98.0,66.0,29.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,9752,2011014,513125,8344,330,52483,404767,199303,400704,153746,104256,883704,1596603,648782,65259,97.0,56.0,34.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,4851,1630814,120011,15611,3,23444,400702,132878,496103,147837,103152,401227,1340398,345031,32329,101.0,69.0,23.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,2456,1281878,297927,2406,702,17819,295937,98488,315076,84357,55310,383494,1188358,219976,141380,95.0,68.0,24.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,3308,448986,87274,17130,220,10758,113931,31792,181182,54939,43225,91352,430787,73584,58054,102.0,74.0,16.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,5051,1305431,199873,26722,92,27235,309494,151042,326567,107929,71422,399089,1079088,465867,78875,98.0,66.0,26.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,2135,1218024,161770,4081,461,15263,223166,64681,272968,72243,43967,472182,946512,258608,164271,99.0,58.0,34.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,3367,1712695,77801,8506,109,20265,391033,103435,458867,157839,102838,504734,1270494,265294,22402,100.0,64.0,28.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,28397,2631985,290549,39361,493,80086,640868,380386,540596,222230,212541,747237,2063359,536643,334547,99.0,65.0,25.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,5200,1634062,272022,10394,29,33903,314547,125402,330446,82082,50463,783126,997638,400933,367071,100.0,51.0,41.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,8791,1479424,234664,26521,367,35207,363835,201662,352444,132138,111753,355222,1383122,308158,65412,100.0,72.0,20.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,7971,2413812,245923,9130,161,41751,562769,204799,685443,213588,143735,686274,1969712,506901,209559,98.0,68.0,26.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,9070,1009179,96740,65838,155,24817,224814,115572,269817,109663,107279,204028,1018426,75429,52897,109.0,79.0,17.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,28842,1460447,224545,435056,311,71593,507913,392117,331419,274789,198858,163991,1991380,201211,6574,110.0,87.0,8.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,88737,1509557,514397,1248137,1083,184167,771287,804997,369694,389793,429880,268315,2848777,268411,16559,103.0,87.0,8.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,8250,541854,82206,481507,384,24863,244844,20823,391610,136428,86136,126589,958204,145486,55815,101.0,83.0,11.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,32653,1509592,742483,262526,722,83940,511167,566191,306288,308670,217203,279352,2290106,83350,41371,114.0,85.0,11.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,10378,729987,486913,87454,152,32484,237670,166164,251641,122657,76192,212905,1068310,53283,48857,108.0,79.0,16.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,31542,1697635,508500,421598,619,83133,630767,401415,523715,307950,233402,231286,2341963,328263,10761,111.0,85.0,9.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,37849,983598,126499,858608,565,83999,464039,196194,481967,280720,221350,134393,1793308,153909,21972,104.0,89.0,7.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,36791,1734958,1211131,131516,588,107602,641660,666543,323793,351267,250117,335520,2744977,199191,15228,110.0,85.0,11.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,27909,1135259,2888849,81556,579,119918,730119,522586,634543,392867,203779,622345,3572086,308266,22990,110.0,81.0,15.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,27162,1875980,812936,114397,400,69440,587583,228442,665899,232109,180540,439934,2371669,403833,48972,107.0,80.0,16.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,71621,2194057,452915,630573,1082,155321,783872,609824,559293,389161,381782,309042,2838716,372977,26759,109.0,84.0,9.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,56148,1823442,532839,757484,585,132774,721625,715119,336748,362657,338600,307665,2787333,324350,9430,111.0,86.0,10.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,4712,404460,234185,174453,286,15944,149864,11805,266183,87042,51111,131211,678654,32578,151443,103.0,79.0,16.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,1290,686524,21473,2132,35434,7266,81338,60325,147388,42743,31646,271733,458365,74385,358543,98.0,58.0,36.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,619,778214,40707,635,27,6016,84720,37135,169606,29551,22791,359525,435809,175764,82072,90.0,56.0,43.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,1712,1519384,38542,5295,58064,13306,277927,70793,400074,126308,74213,493415,1215160,125426,383026,102.0,67.0,29.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,1158,1318869,58222,2967,263,8516,181139,48912,250358,42649,30754,825034,503604,87991,962145,98.0,40.0,60.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,2109,1505745,37590,3271,13048,13755,230974,87704,318945,105696,82761,603098,982706,159296,667018,97.0,60.0,38.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,1166,1595400,66776,973,73,14368,107819,88385,271211,96011,50222,388473,957870,374799,6131,84.0,64.0,23.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,40788,1755861,525434,23432,335,94729,452912,581826,118893,178165,266618,462581,1506450,357516,69429,92.0,70.0,20.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,986,552526,180840,1199,99,5058,112420,62861,115979,42618,28237,317962,429454,64254,230095,95.0,54.0,42.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,1880,1676918,70351,1980,102,15567,176056,95048,375869,77787,59704,770268,925604,405313,73597,88.0,54.0,44.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,3588,1923920,100692,4893,25771,20034,344875,140802,413142,167946,112383,663446,1353819,232244,769778,96.0,62.0,32.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,1432,1186420,47966,1681,82,10504,187731,66514,303387,64414,41158,469038,771117,246337,166295,91.0,59.0,37.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,616,747693,28483,683,10,5251,97696,43401,160453,48978,34853,260076,513988,200270,15061,87.0,62.0,33.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,3518,1376591,174259,2355,72,16523,270457,101014,274995,94403,55383,565365,897959,292007,272701,94.0,59.0,36.0
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,2388,2051219,116202,2261,88,18626,349639,103364,412348,99882,66721,1021851,978149,145436,1222814,96.0,49.0,47.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,554,605435,6736,4238,84006,6447,62372,9774,218021,31104,15179,295655,398176,39782,455789,100.0,54.0,42.0
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,2482,1172248,49203,1208,52,11740,144248,72320,212765,50724,42147,578034,618849,193115,190819,91.0,53.0,47.0
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,15779,1835299,141735,4119,217,46454,306859,272172,172720,166719,193947,554486,1253339,393068,72133,86.0,67.0,27.0
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,986,527462,38640,683,55,5376,95066,31845,112714,31939,27126,177731,347639,92865,159678,93.0,62.0,31.0
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,2871,1175203,52269,4453,107,14456,198076,105746,209650,89589,84769,344492,791254,205007,197300,91.0,65.0,28.0
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,48691,2728225,415142,18523,720,111478,593576,587947,200371,300076,382658,718174,2366526,545239,217679,93.0,70.0,22.0
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,20443,2159065,203652,23142,21010,58601,452023,352477,272284,222987,235072,540029,1685390,348029,375231,93.0,71.0,22.0
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,744,960925,15733,38423,388,5591,125411,24713,211080,28990,20240,775664,307994,17427,891818,99.0,34.0,76.0
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,2179,1240650,37232,3158,2643,13094,172416,72880,276151,80935,53578,465374,820953,155717,317699,95.0,61.0,36.0
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,912,849518,16558,12450,170533,9042,143803,37258,279674,58066,35476,376944,623632,48425,610528,101.0,57.0,36.0
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,2324,1192588,125548,1120,77,12507,239885,81832,302287,77219,52546,467002,855816,249024,33092,96.0,62.0,35.0
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1781,1875495,76159,1092,92,20172,131486,95288,319298,115790,71005,706917,1168209,421519,17030,84.0,60.0,36.0
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,1945,741288,67324,1508,115,8342,145258,67962,174235,53465,42343,289113,519073,111162,71441,95.0,62.0,35.0
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,653,974748,35214,418,218,8501,76097,32179,256744,47903,29795,427997,557003,207990,170879,91.0,54.0,42.0
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,1141,1195235,120331,1725,190,9931,194373,74441,251272,69419,48384,444877,832809,225891,205006,90.0,62.0,33.0
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,1611,1433879,106928,1243,50,12718,231130,69823,331894,72316,51499,706958,742583,295718,53751,96.0,52.0,46.0
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,3644,1267043,151071,3996,123,14905,213825,107151,266716,86507,67192,622153,819266,198612,409865,97.0,57.0,43.0
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,3406,2268838,85414,1964,232,31194,251132,94489,523910,180635,122371,766166,1508142,383508,311985,93.0,61.0,32.0
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,4546,2198297,103480,5580,168,24811,366494,165507,448408,137899,116753,711804,1554882,501630,221936,89.0,65.0,30.0
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,3754,2158623,59471,2228,1689,22751,294702,114173,461831,148091,105499,715509,1450133,398569,319975,93.0,62.0,32.0
